tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
100022,https://www.gem.wiki/Ada_Yesildag_Enerji_power_station,Turkey,Mersin,Ada Yesildag Enerji power station,Ada Yesildag Enerji power station,,Yesildag Enerji Proje Insaat A.Ş.,Yesildag Enerji Proje Insaat A.Ş.,1200,Cancelled,,non-EU Europe,36.3761,33.9322
100023,https://www.gem.wiki/Ada_Yumurtal%C4%B1k_power_station,Turkey,Adana,Ada Yumurtalık power station Unit 1,Ada Yumurtalık power station,,Suez Guney Enerji,"Engie (90%), Mimag Enerji (10%)",660,Cancelled,,non-EU Europe,36.843,35.86
100024,https://www.gem.wiki/Ada_Yumurtal%C4%B1k_power_station,Turkey,Adana,Ada Yumurtalık power station Unit 2,Ada Yumurtalık power station,,Suez Guney Enerji,"Engie (90%), Mimag Enerji (10%)",660,Cancelled,,non-EU Europe,36.843,35.86
100030,https://www.gem.wiki/Adana_Akdeniz_power_station,Turkey,Adana,Adana Akdeniz power station,Adana Akdeniz power station,,Diler Elektrik Üretim,Diler Holding,600,Cancelled,,non-EU Europe,36.8178,35.86216
100031,https://www.gem.wiki/Adana_Ceyhan_power_station,Turkey,Adana,Adana Ceyhan power station,Adana Ceyhan power station,,Yalin Enerji Sanayi A.Ş.,Yalin Enerji Sanayi A.Ş.,800,Cancelled,2015,non-EU Europe,37.0333,35.8167
100032,https://www.gem.wiki/Kilikya_power_station,Turkey,Adana,Kilikya power station Unit 1,Kilikya power station,,Atagür Enerji Üretim İnşaat,Besa Group,330,Cancelled,,non-EU Europe,36.82786,35.87151
100033,https://www.gem.wiki/Kilikya_power_station,Turkey,Adana,Kilikya power station Unit 2,Kilikya power station,,Atagür Enerji Üretim İnşaat,Besa Group,330,Cancelled,,non-EU Europe,36.82786,35.87151
100067,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-A power station Unit 1,Afşin-Elbistan-A power station,,EÜAŞ,Çelikler Holding,370,Operating,1984,non-EU Europe,38.3472108,37.0260017
100068,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-A power station Unit 2,Afşin-Elbistan-A power station,,EÜAŞ,Çelikler Holding,370,Operating,1984,non-EU Europe,38.3472108,37.0260017
100069,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-A power station Unit 3,Afşin-Elbistan-A power station,,EÜAŞ,Çelikler Holding,370,Mothballed,1986,non-EU Europe,38.3472108,37.0260017
