"ID","Name","Region"
4,"Afghanistan","South Asia"
8,"Albania","Central Europe"
12,"Algeria","Northern Africa"
16,"American Samoa","South Pacific"
20,"Andorra","Western Europe"
24,"Angola","Southern Africa"
28,"Anguilla","Caribbean"
32,"Antarctic","Antarctic"
36,"Antigua and Barbuda","Caribbean"
40,"Argentina","South America"
44,"Armenia","Eastern Europe"
48,"Aruba","Caribbean"
52,"Australia","Australia + New Zealand"
56,"Austria","Western Europe"
60,"Azerbaijan","Eastern Europe"
64,"Bahamas, the","Caribbean"
68,"Bahrain","Arabian Peninsula"
76,"Bangladesh","South Asia"
80,"Barbados","Caribbean"
84,"Belarus","Eastern Europe"
88,"Belgium","Western Europe"
92,"Belize","Meso America"
96,"Benin","Western Africa"
100,"Bermuda","Caribbean"
104,"Bhutan","South Asia"
108,"Bolivia","South America"
112,"Bosnia and Herzegovina","Central Europe"
116,"Botswana","Southern Africa"
124,"Brazil","South America"
132,"British Virgin Islands","Caribbean"
136,"Brunei Darussalam","South East Asia"
140,"Bulgaria","Central Europe"
144,"Burkina Faso","Western Africa"
148,"Burundi","Eastern Africa"
152,"Cambodia","South East Asia"
156,"Cameroon","Central Africa"
160,"Canada","North America"
164,"Cape Verde","Western Africa"
168,"Cayman Islands","Caribbean"
172,"Central African Republic","Central Africa"
176,"Chad","Central Africa"
180,"Chile","South America"
184,"China","North East Asia"
188,"Christmas Island","South East Asia"
192,"Cocos (Keeling) Islands","South Pacific"
196,"Colombia","South America"
200,"Comoros","Western Indian Ocean"
204,"Congo, Rep.","Central Africa"
208,"Cook Islands","South Pacific"
212,"Costa Rica","Meso America"
220,"Croatia","Central Europe"
224,"Cuba","Caribbean"
228,"Cyprus","Central Europe"
232,"Czech Republic","Central Europe"
216,"Côte d'Ivoire","Western Africa"
236,"North Korea","North East Asia"
240,"Congo, Dem. Rep.","Central Africa"
244,"Denmark","Western Europe"
248,"Djibouti","Eastern Africa"
252,"Dominica","Caribbean"
256,"Dominican Republic","Caribbean"
260,"Ecuador","South America"
264,"Egypt","Northern Africa"
268,"El Salvador","Meso America"
272,"Equatorial Guinea","Central Africa"
276,"Eritrea","Eastern Africa"
280,"Estonia","Central Europe"
284,"Ethiopia","Eastern Africa"
288,"Falkland Islands (Malvinas)","South America"
292,"Faroe Islands","Western Europe"
296,"Fiji","South Pacific"
300,"Finland","Western Europe"
304,"France","Western Europe"
308,"French Guiana","South America"
320,"Gabon","Central Africa"
324,"Gambia","Western Africa"
328,"Georgia","Eastern Europe"
332,"Germany","Western Europe"
336,"Ghana","Western Africa"
340,"Gibraltar","Western Europe"
348,"Greece","Western Europe"
352,"Greenland","Arctic"
356,"Grenada","Caribbean"
360,"Guadeloupe","Caribbean"
364,"Guam","South Pacific"
368,"Guatemala","Meso America"
372,"Guernsey","Western Europe"
376,"Guinea","Western Africa"
380,"Guinea-Bissau","Western Africa"
384,"Guyana","South America"
388,"Haiti","Caribbean"
396,"Holy See","Western Europe"
400,"Honduras","Meso America"
408,"Hungary","Central Europe"
412,"Iceland","Western Europe"
416,"India","South Asia"
420,"Indonesia","South East Asia"
424,"Iran, Islamic Rep.","South Asia"
428,"Iraq","Mashriq"
432,"Ireland","Western Europe"
436,"Isle of Man","Western Europe"
440,"Israel","Western Europe"
444,"Italy","Western Europe"
448,"Jamaica","Caribbean"
452,"Japan","North East Asia"
460,"Jersey","Western Europe"
464,"Johnston Atoll","South Pacific"
468,"Jordan","Mashriq"
476,"Kazakhstan","Central Asia"
480,"Kenya","Eastern Africa"
484,"Kiribati","South Pacific"
488,"Kuwait","Arabian Peninsula"
492,"Kyrgyz Republic","Central Asia"
496,"Lao PDR","South East Asia"
500,"Latvia","Central Europe"
504,"Lebanon","Mashriq"
508,"Lesotho","Southern Africa"
512,"Liberia","Western Africa"
516,"Libyan Arab Jamahiriya","Northern Africa"
520,"Liechtenstein","Western Europe"
524,"Lithuania","Central Europe"
528,"Luxembourg","Western Europe"
536,"Madagascar","Western Indian Ocean"
540,"Malawi","Southern Africa"
544,"Malaysia","South East Asia"
548,"Maldives","South Asia"
552,"Mali","Western Africa"
556,"Malta","Western Europe"
560,"Marshall Islands","South Pacific"
564,"Martinique","Caribbean"
568,"Mauritania","Western Africa"
572,"Mauritius","Western Indian Ocean"
576,"Mayotte","Western Indian Ocean"
580,"Mexico","Meso America"
584,"Micronesia (Federated States of)","South Pacific"
588,"Midway Islands","South Pacific"
592,"Moldova","Eastern Europe"
596,"Monaco","Western Europe"
600,"Mongolia","North East Asia"
602,"Montenegro","Central Europe"
604,"Montserrat","Caribbean"
608,"Morocco","Northern Africa"
612,"Mozambique","Southern Africa"
616,"Myanmar","South East Asia"
620,"Namibia","Southern Africa"
624,"Nauru","South Pacific"
628,"Nepal","South Asia"
632,"Netherlands","Western Europe"
636,"Netherlands Antilles","Caribbean"
640,"New Caledonia","South Pacific"
644,"New Zealand","Australia + New Zealand"
648,"Nicaragua","Meso America"
652,"Niger","Western Africa"
656,"Nigeria","Western Africa"
660,"Niue","South Pacific"
664,"Norfolk Island","South Pacific"
668,"Northern Mariana Islands","South Pacific"
672,"Norway","Western Europe"
676,"West Bank and Gaza","Mashriq"
680,"Oman","Arabian Peninsula"
684,"Pakistan","South Asia"
688,"Palau","South Pacific"
692,"Panama","Meso America"
696,"Papua New Guinea","South Pacific"
704,"Paraguay","South America"
708,"Peru","South America"
712,"Philippines","South East Asia"
716,"Pitcairn Island","South Pacific"
720,"Poland","Central Europe"
724,"Portugal","Western Europe"
728,"Puerto Rico","Caribbean"
732,"Qatar","Arabian Peninsula"
736,"Republic of Korea","North East Asia"
744,"Romania","Central Europe"
748,"Russia","Eastern Europe"
752,"Rwanda","Eastern Africa"
740,"Réunion","Western Indian Ocean"
756,"Saint Helena","Southern Africa"
760,"Saint Kitts and Nevis","Caribbean"
764,"Saint Lucia","Caribbean"
768,"Saint Pierre and Miquelon","North America"
772,"Saint Vincent and the Grenadines","Caribbean"
776,"Samoa","South Pacific"
780,"San Marino","Western Europe"
784,"Sao Tome and Principe","Central Africa"
788,"Saudi Arabia","Arabian Peninsula"
792,"Senegal","Western Africa"
794,"Serbia","Central Europe"
796,"Seychelles","Western Indian Ocean"
800,"Sierra Leone","Western Africa"
804,"Singapore","South East Asia"
808,"Slovak Republic","Central Europe"
812,"Slovenia","Central Europe"
816,"Solomon Islands","South Pacific"
820,"Somalia","Eastern Africa"
824,"South Africa","Southern Africa"
846,"South Sudan","Eastern Africa"
832,"Spain","Western Europe"
840,"Sri Lanka","South Asia"
844,"Sudan","Northern Africa"
848,"Suriname","South America"
852,"Svalbard and Jan Mayen Islands","Western Europe"
856,"Swaziland","Southern Africa"
860,"Sweden","Western Europe"
864,"Switzerland","Western Europe"
868,"Syrian Arab Republic","Mashriq"
876,"Tajikistan","Central Asia"
880,"Thailand","South East Asia"
884,"Macedonia, FYR","Central Europe"
886,"Timor-Leste","South East Asia"
888,"Togo","Western Africa"
892,"Tokelau","South Pacific"
896,"Tonga","South Pacific"
900,"Trinidad and Tobago","Caribbean"
904,"Tunisia","Northern Africa"
908,"Turkey","Central Europe"
912,"Turkmenistan","Central Asia"
916,"Turks and Caicos Islands","Caribbean"
920,"Tuvalu","South Pacific"
924,"Uganda","Eastern Africa"
928,"Ukraine","Eastern Europe"
932,"United Arab Emirates","Arabian Peninsula"
936,"United Kingdom","Western Europe"
940,"Tanzania","Southern Africa"
948,"United States Virgin Islands","Caribbean"
944,"United States of America","North America"
952,"Uruguay","South America"
956,"Uzbekistan","Central Asia"
960,"Vanuatu","South Pacific"
964,"Venezuela","South America"
968,"Vietnam","South East Asia"
972,"Wake Island","South Pacific"
976,"Wallis and Futuna","South Pacific"
980,"Western Sahara","Northern Africa"
984,"Yemen, Rep.","Arabian Peninsula"
992,"Zambia","Southern Africa"
996,"Zimbabwe","Southern Africa"
